city,cloud,country,date,humid,lat,lng,Max_Temp_F,Wind_Speed
Katsuura,75,JP,1559443820,82,33.93,134.5,69.01,8.05
Yellowknife,90,CA,1559443820,71,62.45,-114.38,50.0,9.17
Sobolevo,45,RU,1559443820,90,54.43,31.9,57.5,5.91
Hasaki,75,JP,1559443820,64,35.73,140.83,81.0,6.93
Fez,0,MA,1559443820,42,34.03,-5.02,68.0,8.05
Punta Arenas,90,CL,1559443820,86,-53.16,-70.91,41.0,26.4
Dikson,100,RU,1559443820,94,73.51,80.55,31.94,8.72
Qaanaaq,100,GL,1559443820,93,77.48,-69.36,25.82,7.31
Kibre Mengist,100,ET,1559443821,98,5.87,38.99,55.16,1.1
Bluff,64,AU,1559443821,64,-23.58,149.07,67.22,5.79
Busselton,0,AU,1559443821,33,-33.64,115.35,66.99,16.17
Avarua,1,CK,1559443821,78,-21.21,-159.78,78.8,13.87
Vaini,20,IN,1559443821,78,15.34,74.49,75.2,9.17
Hilo,75,US,1559443821,69,19.71,-155.08,80.6,9.17
Salalah,40,OM,1559443821,74,17.01,54.1,84.2,5.82
Lasa,94,CY,1559443821,88,34.92,32.53,69.8,3.36
Port Hardy,20,CA,1559443822,54,50.7,-127.42,57.2,13.87
Rikitea,100,PF,1559443822,79,-23.12,-134.97,73.52,24.34
Chara,40,GR,1559443822,77,39.42,22.43,60.8,4.27
Ushuaia,40,AR,1559443822,80,-54.81,-68.31,37.4,13.87
Kahului,40,US,1559443822,58,20.89,-156.47,84.0,21.92
Egvekinot,50,RU,1559443822,55,66.32,-179.17,41.66,2.37
Imeni Poliny Osipenko,8,RU,1559443822,48,52.42,136.49,61.64,7.29
Sao Filipe,21,CV,1559443620,84,14.9,-24.5,72.8,16.24
Huarmey,100,PE,1559443822,91,-10.07,-78.15,63.44,20.11
Albany,75,US,1559443780,72,42.65,-73.75,68.0,5.82
Barrow,59,AR,1559443823,51,-38.31,-60.23,51.38,8.7
Atuona,27,PF,1559443823,77,-9.8,-139.03,81.62,11.77
Souillac,0,FR,1559443823,63,45.6,-0.6,66.2,3.36
Emba,99,CY,1559443823,88,34.81,32.42,69.8,3.36
Touros,20,BR,1559443823,88,-5.2,-35.46,77.0,3.36
Shubarshi,69,KZ,1559443824,40,48.59,57.19,79.28,3.91
Begowal,0,IN,1559443824,16,30.81,76.06,99.98,15.35
Iqaluit,20,CA,1559443824,80,63.75,-68.52,33.8,2.24
Leningradskiy,1,RU,1559443824,90,69.38,178.42,33.02,10.47
Lavrentiya,64,RU,1559443824,54,65.58,-170.99,52.1,3.74
Labuhan,90,ID,1559443824,54,-2.54,115.51,92.24,0.13
Chas,2,IN,1559443824,57,23.63,86.18,91.34,7.78
Paoua,86,CF,1559443824,89,7.24,16.43,70.28,4.41
Cape Town,75,ZA,1559443552,100,-33.93,18.42,59.0,1.12
Port Alfred,3,ZA,1559443825,89,-33.59,26.89,60.01,5.99
New Norfolk,75,AU,1559443825,93,-42.78,147.06,50.0,4.7
Kampot,20,KH,1559443825,70,10.62,104.18,87.8,4.7
Saint-Paul,0,FR,1559443825,93,45.22,1.9,60.01,5.82
Hermanus,94,ZA,1559443825,97,-34.42,19.24,55.0,10.07
Buraydah,0,SA,1559443825,36,26.33,43.97,77.0,2.24
Mar del Plata,36,AR,1559443572,77,-46.43,-67.52,43.64,8.95
Saskylakh,0,RU,1559443826,57,71.97,114.09,48.32,9.84
Codrington,75,AU,1559443826,68,-28.95,153.24,68.0,2.24
Walvis Bay,0,NA,1559443826,93,-22.95,14.51,42.8,1.12
Tasiilaq,0,GL,1559443826,92,65.61,-37.64,28.4,6.93
Vuktyl,1,RU,1559443826,58,63.86,57.31,55.34,13.11
Bemidji,40,US,1559443826,66,47.48,-94.89,57.2,3.36
Kaduqli,100,SD,1559443826,58,11.01,29.72,84.68,5.84
Kununurra,3,AU,1559443826,16,-15.77,128.74,73.4,18.34
Mahebourg,75,MU,1559443827,94,-20.41,57.7,71.6,3.36
Mataura,94,NZ,1559443827,78,-46.19,168.86,48.99,3.94
Bethel,75,US,1559443827,76,60.79,-161.76,59.0,8.05
Guantanamo,56,BO,1559443827,83,-16.14,-62.05,72.26,4.45
Saint-Philippe,90,CA,1559443827,63,45.36,-73.48,64.4,3.36
Humaita,0,AR,1559443828,93,-24.93,-65.37,50.0,3.36
Ilulissat,20,GL,1559443828,74,69.22,-51.1,37.4,3.36
Jamestown,22,AU,1559443828,56,-33.21,138.6,58.94,10.29
Hobart,75,AU,1559443530,93,-42.88,147.33,50.0,4.7
Leh,6,IN,1559443828,54,34.16,77.58,35.72,2.04
Luderitz,0,NA,1559443828,81,-26.65,15.16,50.0,3.36
Nikolskoye,75,RU,1559443828,81,59.7,30.79,54.0,4.47
Puerto Ayora,34,EC,1559443829,95,-0.74,-90.35,73.99,1.99
Saint-Pierre,0,FR,1559443829,93,48.95,4.24,59.0,5.82
Faanui,0,PF,1559443829,69,-16.48,-151.75,81.98,9.35
Hualmay,100,PE,1559443829,93,-11.1,-77.61,62.36,20.38
Aleksandrovsk,64,RU,1559443830,85,59.16,57.56,51.01,1.99
Itoman,75,JP,1559443830,83,26.12,127.67,84.2,13.87
Half Moon Bay,90,US,1559443830,93,37.46,-122.43,68.0,9.17
Talnakh,90,RU,1559443830,92,69.49,88.39,30.2,11.18
